# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0013767093        9.2120093187      100.0000000000        0.0000000000        0.0000000000
          2        0.0051610086        7.6766744272      100.0000000000        0.0000000000        0.0000000000
          3        0.0126011060        6.3972286770      100.0000000000        0.0000000000        0.0000000000
          4        0.0255624150        5.3310238717      100.0000000000        0.0000000000        0.0000000000
          5        0.0466056309        4.4425198466      100.0000000000        0.0000000000        0.0000000000
          6        0.0790789323        3.7020997931      100.0000000000        0.0000000000        0.0000000000
          7        0.1270505050        3.0850830340      100.0000000000        0.0000000000        0.0000000000
          8        0.1949049923        2.5709023333      100.0000000000        0.0000000000        0.0000000000
          9        0.2863798902        2.1424183245      100.0000000000        0.0000000000        0.0000000000
         10        0.4029951331        1.7853482003      100.0000000000        0.0000000000        0.0000000000
         11        0.5423833666        1.4877896239      100.0000000000        0.0000000000        0.0000000000
         12        0.6980192087        1.2398239876      100.0000000000        0.0000000000        0.0000000000
         13        0.8622744730        1.0331857931      100.0000000000        0.0000000000        0.0000000000
         14        1.0327124066        0.8609871269      100.0000000000        0.0000000000        0.0000000000
         15        1.2168610820        0.7174880542      100.0000000000        0.0000000000        0.0000000000
         16        1.4294667511        0.5979052809      100.0000000000        0.0000000000        0.0000000000
         17        1.6840863528        0.4982527149      100.0000000000        0.0000000000        0.0000000000
         18        1.9887843647        0.4152086047      100.0000000000        0.0000000000        0.0000000000
         19        2.3494455354        0.3460048180      100.0000000000        0.0000000000        0.0000000000
         20        2.7742148706        0.2883345704      100.0000000000        0.0000000000        0.0000000000
         21        3.2762258874        0.2402755278      100.0000000000        0.0000000000        0.0000000000
         22        3.8778185269        0.2002257229      100.0000000000        0.0000000000        0.0000000000
         23        4.6095349843        0.1668501523      100.0000000000        0.0000000000        0.0000000000
         24        5.4867500934        0.1390362981      100.0000000000        0.0000000000        0.0000000000
         25        6.4669247346        0.1158571047      100.0000000000        0.0000000000        0.0000000000
         26        7.4033381993        0.0965401731      100.0000000000        0.0000000000        0.0000000000
         27        7.9948321793        0.0804421383      100.0000000000        0.0000000000        0.0000000000
         28        7.9102855678        0.0766036400      100.0000000000        0.0000000000        0.0000000000
         29        7.0999703801        0.0729487383      100.0000000000        0.0000000000        0.0000000000
         30        5.6970102462        0.0694692827      100.0000000000        0.0000000000        0.0000000000
         31        3.9881505746        0.0661572248      100.0000000000        0.0000000000        0.0000000000
         32        2.3295620953        0.0630045439      100.0000000000        0.0000000000        0.0000000000
         33        1.0466665019        0.0600032754      100.0000000000        0.0000000000        0.0000000000
         34        0.3444092452        0.0571456281      100.0000000000        0.0000000000        0.0000000000
         35        0.2491616422        0.0544241551      100.0000000000        0.0000000000        0.0000000000
         36        0.6052126550        0.0518319198      100.0000000000        0.0000000000        0.0000000000
         37        1.1369015437        0.0493625926      100.0000000000        0.0000000000        0.0000000000
         38        1.5584560955        0.0470104313      100.0000000000        0.0000000000        0.0000000000
         39        1.6858616552        0.0447701507      100.0000000000        0.0000000000        0.0000000000
         40        1.4980263728        0.0426367386      100.0000000000        0.0000000000        0.0000000000
         41        1.1174338515        0.0406052986      100.0000000000        0.0000000000        0.0000000000
         42        0.7240843477        0.0386709878      100.0000000000        0.0000000000        0.0000000000
         43        0.4547368158        0.0368290569      100.0000000000        0.0000000000        0.0000000000
         44        0.3454608664        0.0350749466      100.0000000000        0.0000000000        0.0000000000
         45        0.3432588260        0.0334043679      100.0000000000        0.0000000000        0.0000000000
         46        0.3651875452        0.0318133187      100.0000000000        0.0000000000        0.0000000000
         47        0.3564732049        0.0302980428      100.0000000000        0.0000000000        0.0000000000
         48        0.3108730711        0.0288549686      100.0000000000        0.0000000000        0.0000000000
         49        0.2523337960        0.0274806708      100.0000000000        0.0000000000        0.0000000000
         50        0.2046454315        0.0261718636      100.0000000000        0.0000000000        0.0000000000
         51        0.1751594603        0.0249254101      100.0000000000        0.0000000000        0.0000000000
         52        0.1580275912        0.0237383286      100.0000000000        0.0000000000        0.0000000000
         53        0.1452455075        0.0226077876      100.0000000000        0.0000000000        0.0000000000
         54        0.1331919091        0.0215310938      100.0000000000        0.0000000000        0.0000000000
         55        0.1220924807        0.0205056822      100.0000000000        0.0000000000        0.0000000000
         56        0.1129158356        0.0195291088      100.0000000000        0.0000000000        0.0000000000
         57        0.1057451644        0.0185990459      100.0000000000        0.0000000000        0.0000000000
         58        0.1000095124        0.0177132773      100.0000000000        0.0000000000        0.0000000000
         59        0.0951445801        0.0168696929      100.0000000000        0.0000000000        0.0000000000
