# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000764871        0.0092120093                 NaN                 NaN                 NaN
          2        0.0007115515        0.0092120085                 NaN                 NaN                 NaN
          3        0.0026291853        0.0092120058                 NaN                 NaN                 NaN
          4        0.0056962016        0.0092120000                 NaN                 NaN                 NaN
          5        0.0097960994        0.0092119900                 NaN                 NaN                 NaN
          6        0.0147702445        0.0092119749                 NaN                 NaN                 NaN
          7        0.0204557398        0.0092119542                 NaN                 NaN                 NaN
          8        0.0267012888        0.0092119270                 NaN                 NaN                 NaN
          9        0.0333736955        0.0092118932                 NaN                 NaN                 NaN
         10        0.0403593960        0.0092118522                 NaN                 NaN                 NaN
         11        0.0475634743        0.0092118039                 NaN                 NaN                 NaN
         12        0.0549076318        0.0092117482                 NaN                 NaN                 NaN
         13        0.0623278600        0.0092116850                 NaN                 NaN                 NaN
         14        0.0697721937        0.0092116143                 NaN                 NaN                 NaN
         15        0.0771986900        0.0092115359                 NaN                 NaN                 NaN
         16        0.0845736799        0.0092114502                 NaN                 NaN                 NaN
         17        0.0918702902        0.0092113570                 NaN                 NaN                 NaN
         18        0.0990672150        0.0092112565                 NaN                 NaN                 NaN
         19        0.1061476967        0.0092111488                 NaN                 NaN                 NaN
         20        0.1130986921        0.0092110341                 NaN                 NaN                 NaN
         21        0.1199101853        0.0092109124                 NaN                 NaN                 NaN
         22        0.1265746259        0.0092107840                 NaN                 NaN                 NaN
         23        0.1330864701        0.0092106490                 NaN                 NaN                 NaN
         24        0.1394418029        0.0092105075                 NaN                 NaN                 NaN
         25        0.1456380306        0.0092103597                 NaN                 NaN                 NaN
         26        0.1516736279        0.0092102058                 NaN                 NaN                 NaN
         27        0.1575479300        0.0092100459                 NaN                 NaN                 NaN
         28        0.1632609637        0.0092098802                 NaN                 NaN                 NaN
         29        0.1688133071        0.0092097088                 NaN                 NaN                 NaN
         30        0.1742059757        0.0092095320                 NaN                 NaN                 NaN
         31        0.1794403293        0.0092093498                 NaN                 NaN                 NaN
         32        0.1845179943        0.0092091624                 NaN                 NaN                 NaN
         33        0.1894408009        0.0092089701                 NaN                 NaN                 NaN
         34        0.1942107333        0.0092087728                 NaN                 NaN                 NaN
         35        0.1988298857        0.0092085709                 NaN                 NaN                 NaN
         36        0.2033004300        0.0092083644                 NaN                 NaN                 NaN
         37        0.2076245875        0.0092081535                 NaN                 NaN                 NaN
         38        0.2118046068        0.0092079383                 NaN                 NaN                 NaN
         39        0.2158427461        0.0092077190                 NaN                 NaN                 NaN
         40        0.2197412590        0.0092074957                 NaN                 NaN                 NaN
         41        0.2235023835        0.0092072686                 NaN                 NaN                 NaN
         42        0.2271283335        0.0092070377                 NaN                 NaN                 NaN
         43        0.2306212922        0.0092068033                 NaN                 NaN                 NaN
         44        0.2339834079        0.0092065654                 NaN                 NaN                 NaN
         45        0.2372167908        0.0092063242                 NaN                 NaN                 NaN
         46        0.2403235105        0.0092060798                 NaN                 NaN                 NaN
         47        0.2433055964        0.0092058324                 NaN                 NaN                 NaN
         48        0.2461650375        0.0092055820                 NaN                 NaN                 NaN
         49        0.2489037828        0.0092053288                 NaN                 NaN                 NaN
         50        0.2515237445        0.0092050729                 NaN                 NaN                 NaN
         51        0.2540267993        0.0092048144                 NaN                 NaN                 NaN
         52        0.2564147915        0.0092045535                 NaN                 NaN                 NaN
         53        0.2586895369        0.0092042902                 NaN                 NaN                 NaN
         54        0.2608528265        0.0092040246                 NaN                 NaN                 NaN
         55        0.2629064298        0.0092037569                 NaN                 NaN                 NaN
         56        0.2648521006        0.0092034873                 NaN                 NaN                 NaN
         57        0.2666915803        0.0092032157                 NaN                 NaN                 NaN
         58        0.2684266025        0.0092029423                 NaN                 NaN                 NaN
         59        0.2700588987        0.0092026671                 NaN                 NaN                 NaN
         60        0.2715902016        0.0092023904                 NaN                 NaN                 NaN
         61        0.2730222499        0.0092021122                 NaN                 NaN                 NaN
         62        0.2743567930        0.0092018326                 NaN                 NaN                 NaN
         63        0.2755955947        0.0092015517                 NaN                 NaN                 NaN
         64        0.2767404365        0.0092012695                 NaN                 NaN                 NaN
         65        0.2777931205        0.0092009863                 NaN                 NaN                 NaN
         66        0.2787554731        0.0092007020                 NaN                 NaN                 NaN
         67        0.2796293480        0.0092004168                 NaN                 NaN                 NaN
         68        0.2804166256        0.0092001307                 NaN                 NaN                 NaN
         69        0.2811192165        0.0091998439                 NaN                 NaN                 NaN
         70        0.2817390611        0.0091995563                 NaN                 NaN                 NaN
         71        0.2822781315        0.0091992682                 NaN                 NaN                 NaN
         72        0.2827384286        0.0091989796                 NaN                 NaN                 NaN
         73        0.2831219837        0.0091986905                 NaN                 NaN                 NaN
         74        0.2834308561        0.0091984011                 NaN                 NaN                 NaN
         75        0.2836671319        0.0091981114                 NaN                 NaN                 NaN
         76        0.2838329206        0.0091978215                 NaN                 NaN                 NaN
         77        0.2839303541        0.0091975314                 NaN                 NaN                 NaN
         78        0.2839615824        0.0091972413                 NaN                 NaN                 NaN
         79        0.2839287715        0.0091969511                 NaN                 NaN                 NaN
         80        0.2838340982        0.0091966610                 NaN                 NaN                 NaN
         81        0.2836797484        0.0091963710                 NaN                 NaN                 NaN
         82        0.2834679115        0.0091960812                 NaN                 NaN                 NaN
         83        0.2832007770        0.0091957916                 NaN                 NaN                 NaN
         84        0.2828805302        0.0091955023                 NaN                 NaN                 NaN
         85        0.2825093482        0.0091952133                 NaN                 NaN                 NaN
         86        0.2820893955        0.0091949247                 NaN                 NaN                 NaN
         87        0.2816228200        0.0091946366                 NaN                 NaN                 NaN
         88        0.2811117494        0.0091943490                 NaN                 NaN                 NaN
         89        0.2805582864        0.0091940618                 NaN                 NaN                 NaN
         90        0.2799645059        0.0091937753                 NaN                 NaN                 NaN
         91        0.2793324508        0.0091934894                 NaN                 NaN                 NaN
         92        0.2786641296        0.0091932041                 NaN                 NaN                 NaN
         93        0.2779615125        0.0091929195                 NaN                 NaN                 NaN
         94        0.2772265277        0.0091926356                 NaN                 NaN                 NaN
         95        0.2764610612        0.0091923525                 NaN                 NaN                 NaN
         96        0.2756669524        0.0091920701                 NaN                 NaN                 NaN
         97        0.2748459929        0.0091917886                 NaN                 NaN                 NaN
         98        0.2739999245        0.0091915079                 NaN                 NaN                 NaN
         99        0.2731304371        0.0091912281                 NaN                 NaN                 NaN
        100        0.2722391688        0.0091909491                 NaN                 NaN                 NaN
