#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0900           NaN      386.7431      386.9116        0.0403        0.0000           NaN           NaN
        20        0.1900           NaN      386.7431      387.2603        0.0403        0.0000           NaN           NaN
        30        0.2900           NaN      386.7431      387.6276        0.0403        0.0000           NaN           NaN
        40        0.3900           NaN      386.7431      387.9930        0.0403        0.0000           NaN           NaN
        50        0.4900           NaN      386.7431      388.3578        0.0403        0.0000           NaN           NaN
        60        0.5900           NaN      386.7431      388.7248        0.0403        0.0000           NaN           NaN
        70        0.6900           NaN      386.7431      389.0953        0.0403        0.0000           NaN           NaN
        80        0.7900           NaN      386.7431      389.4689        0.0403        0.0000           NaN           NaN
        90        0.8900           NaN      386.7431      389.8429        0.0403        0.0000           NaN           NaN
       100        0.9900           NaN      386.7431      390.2134        0.0403        0.0000           NaN           NaN
       110        1.0900           NaN      386.7431      390.5768        0.0403        0.0000           NaN           NaN
       120        1.1900           NaN      386.7431      390.9301        0.0403        0.0000           NaN           NaN
       130        1.2900           NaN      386.7431      391.2717        0.0403        0.0000           NaN           NaN
       140        1.3900           NaN      386.7431      391.6009        0.0404        0.0000           NaN           NaN
       150        1.4900           NaN      386.7431      391.9180        0.0404        0.0000           NaN           NaN
       160        1.5900           NaN      386.7431      392.2233        0.0404        0.0000           NaN           NaN
       170        1.6900           NaN      386.7431      392.5170        0.0404        0.0000           NaN           NaN
       180        1.7900           NaN      386.7431      392.7998        0.0404        0.0000           NaN           NaN
       190        1.8900           NaN      386.7431      393.0722        0.0404        0.0000           NaN           NaN
       200        1.9900           NaN      386.7431      393.3348        0.0404        0.0000           NaN           NaN
       210        2.0900           NaN      386.7431      393.5882        0.0404        0.0000           NaN           NaN
       220        2.1900           NaN      386.7431      393.8328        0.0404        0.0000           NaN           NaN
       230        2.2900           NaN      386.7431      394.0690        0.0404        0.0000           NaN           NaN
       240        2.3900           NaN      386.7431      394.2974        0.0404        0.0000           NaN           NaN
       250        2.4900           NaN      386.7431      394.5181        0.0404        0.0000           NaN           NaN
       260        2.5900           NaN      386.7431      394.7316        0.0404        0.0000           NaN           NaN
       270        2.6900           NaN      386.7431      394.9382        0.0404        0.0000           NaN           NaN
       280        2.7900           NaN      386.7431      395.1380        0.0404        0.0000           NaN           NaN
       290        2.8900           NaN      386.7431      395.3315        0.0404        0.0000           NaN           NaN
       300        2.9900           NaN      386.7431      395.5187        0.0404        0.0000           NaN           NaN
       310        3.0900           NaN      386.7431      395.7000        0.0404        0.0000           NaN           NaN
       320        3.1900           NaN      386.7431      395.8756        0.0404        0.0000           NaN           NaN
       330        3.2900           NaN      386.7431      396.0456        0.0404        0.0000           NaN           NaN
       340        3.3900           NaN      386.7431      396.2103        0.0404        0.0000           NaN           NaN
       350        3.4900           NaN      386.7431      396.3699        0.0404        0.0000           NaN           NaN
       360        3.5900           NaN      386.7431      396.5244        0.0404        0.0000           NaN           NaN
       370        3.6900           NaN      386.7431      396.6741        0.0404        0.0000           NaN           NaN
       380        3.7900           NaN      386.7431      396.8192        0.0404        0.0000           NaN           NaN
       390        3.8900           NaN      386.7431      396.9597        0.0404        0.0000           NaN           NaN
       400        3.9900           NaN      386.7431      397.0959        0.0404        0.0000           NaN           NaN
       410        4.0900           NaN      386.7431      397.2279        0.0404        0.0000           NaN           NaN
       420        4.1900           NaN      386.7431      397.3557        0.0404        0.0000           NaN           NaN
       430        4.2900           NaN      386.7431      397.4796        0.0404        0.0000           NaN           NaN
       440        4.3900           NaN      386.7431      397.5997        0.0404        0.0000           NaN           NaN
       450        4.4900           NaN      386.7431      397.7161        0.0404        0.0000           NaN           NaN
       460        4.5900           NaN      386.7431      397.8288        0.0404        0.0000           NaN           NaN
       470        4.6900           NaN      386.7431      397.9381        0.0404        0.0000           NaN           NaN
       480        4.7900           NaN      386.7431      398.0440        0.0404        0.0000           NaN           NaN
       490        4.8900           NaN      386.7431      398.1467        0.0404        0.0000           NaN           NaN
       500        4.9900           NaN      386.7431      398.2462        0.0405        0.0000           NaN           NaN
       510        5.0900           NaN      386.7431      398.3426        0.0405        0.0000           NaN           NaN
       520        5.1900           NaN      386.7431      398.4361        0.0405        0.0000           NaN           NaN
       530        5.2900           NaN      386.7431      398.5266        0.0405        0.0000           NaN           NaN
       540        5.3900           NaN      386.7431      398.6144        0.0405        0.0000           NaN           NaN
       550        5.4900           NaN      386.7431      398.6995        0.0405        0.0000           NaN           NaN
       560        5.5900           NaN      386.7431      398.7820        0.0405        0.0000           NaN           NaN
       570        5.6900           NaN      386.7431      398.8619        0.0405        0.0000           NaN           NaN
       580        5.7900           NaN      386.7431      398.9393        0.0405        0.0000           NaN           NaN
       590        5.8900           NaN      386.7431      399.0144        0.0405        0.0000           NaN           NaN
       600        5.9900           NaN      386.7431      399.0871        0.0405        0.0000           NaN           NaN
       610        6.0900           NaN      386.7431      399.1576        0.0405        0.0000           NaN           NaN
       620        6.1900           NaN      386.7431      399.2259        0.0405        0.0000           NaN           NaN
       630        6.2900           NaN      386.7431      399.2922        0.0405        0.0000           NaN           NaN
       640        6.3900           NaN      386.7431      399.3564        0.0405        0.0000           NaN           NaN
       650        6.4900           NaN      386.7431      399.4186        0.0405        0.0000           NaN           NaN
       660        6.5900           NaN      386.7431      399.4788        0.0405        0.0000           NaN           NaN
       670        6.6900           NaN      386.7431      399.5373        0.0405        0.0000           NaN           NaN
       680        6.7900           NaN      386.7431      399.5939        0.0405        0.0000           NaN           NaN
       690        6.8900           NaN      386.7431      399.6488        0.0405        0.0000           NaN           NaN
       700        6.9900           NaN      386.7431      399.7020        0.0405        0.0000           NaN           NaN
       710        7.0900           NaN      386.7431      399.7535        0.0405        0.0000           NaN           NaN
       720        7.1900           NaN      386.7431      399.8035        0.0405        0.0000           NaN           NaN
       730        7.2900           NaN      386.7431      399.8519        0.0405        0.0000           NaN           NaN
       740        7.3900           NaN      386.7431      399.8989        0.0405        0.0000           NaN           NaN
       750        7.4900           NaN      386.7431      399.9444        0.0405        0.0000           NaN           NaN
       760        7.5900           NaN      386.7431      399.9885        0.0405        0.0000           NaN           NaN
       770        7.6900           NaN      386.7431      400.0312        0.0405        0.0000           NaN           NaN
       780        7.7900           NaN      386.7431      400.0726        0.0405        0.0000           NaN           NaN
       790        7.8900           NaN      386.7431      400.1128        0.0405        0.0000           NaN           NaN
       800        7.9900           NaN      386.7431      400.1517        0.0405        0.0000           NaN           NaN
       810        8.0900           NaN      386.7431      400.1894        0.0405        0.0000           NaN           NaN
       820        8.1900           NaN      386.7431      400.2259        0.0405        0.0000           NaN           NaN
       830        8.2900           NaN      386.7431      400.2613        0.0405        0.0000           NaN           NaN
       840        8.3900           NaN      386.7431      400.2957        0.0405        0.0000           NaN           NaN
       850        8.4900           NaN      386.7431      400.3289        0.0405        0.0000           NaN           NaN
       860        8.5900           NaN      386.7431      400.3612        0.0405        0.0000           NaN           NaN
       870        8.6900           NaN      386.7431      400.3924        0.0405        0.0000           NaN           NaN
       880        8.7900           NaN      386.7431      400.4227        0.0405        0.0000           NaN           NaN
       890        8.8900           NaN      386.7431      400.4521        0.0405        0.0000           NaN           NaN
       900        8.9900           NaN      386.7431      400.4805        0.0405        0.0000           NaN           NaN
       910        9.0900           NaN      386.7431      400.5081        0.0405        0.0000           NaN           NaN
       920        9.1900           NaN      386.7431      400.5348        0.0405        0.0000           NaN           NaN
       930        9.2900           NaN      386.7431      400.5607        0.0405        0.0000           NaN           NaN
       940        9.3900           NaN      386.7431      400.5858        0.0405        0.0000           NaN           NaN
       950        9.4900           NaN      386.7431      400.6102        0.0405        0.0000           NaN           NaN
       960        9.5900           NaN      386.7431      400.6337        0.0405        0.0000           NaN           NaN
       970        9.6900           NaN      386.7431      400.6566        0.0405        0.0000           NaN           NaN
       980        9.7900           NaN      386.7431      400.6787        0.0405        0.0000           NaN           NaN
       990        9.8900           NaN      386.7431      400.7002        0.0405        0.0000           NaN           NaN
      1000        9.9900           NaN      386.7431      400.7210        0.0405        0.0000           NaN           NaN
      1010       10.0900           NaN      386.7431      400.7412        0.0405        0.0000           NaN           NaN
      1020       10.1900           NaN      386.7431      400.7607        0.0405        0.0000           NaN           NaN
      1030       10.2900           NaN      386.7431      400.7797        0.0405        0.0000           NaN           NaN
      1040       10.3900           NaN      386.7431      400.7980        0.0405        0.0000           NaN           NaN
      1050       10.4900           NaN      386.7431      400.8158        0.0405        0.0000           NaN           NaN
      1060       10.5900           NaN      386.7431      400.8331        0.0405        0.0000           NaN           NaN
      1070       10.6900           NaN      386.7431      400.8498        0.0405        0.0000           NaN           NaN
      1080       10.7900           NaN      386.7431      400.8660        0.0405        0.0000           NaN           NaN
      1090       10.8900           NaN      386.7431      400.8817        0.0405        0.0000           NaN           NaN
      1100       10.9900           NaN      386.7431      400.8969        0.0405        0.0000           NaN           NaN
      1110       11.0900           NaN      386.7431      400.9116        0.0405        0.0000           NaN           NaN
      1120       11.1900           NaN      386.7431      400.9259        0.0405        0.0000           NaN           NaN
      1130       11.2900           NaN      386.7431      400.9398        0.0405        0.0000           NaN           NaN
      1140       11.3900           NaN      386.7431      400.9532        0.0405        0.0000           NaN           NaN
      1150       11.4900           NaN      386.7431      400.9662        0.0405        0.0000           NaN           NaN
      1160       11.5900           NaN      386.7431      400.9788        0.0405        0.0000           NaN           NaN
      1170       11.6900           NaN      386.7431      400.9910        0.0405        0.0000           NaN           NaN
      1180       11.7900           NaN      386.7431      401.0029        0.0405        0.0000           NaN           NaN
      1190       11.8900           NaN      386.7431      401.0144        0.0405        0.0000           NaN           NaN
      1200       11.9900           NaN      386.7431      401.0255        0.0405        0.0000           NaN           NaN
      1210       12.0900           NaN      386.7431      401.0363        0.0405        0.0000           NaN           NaN
      1220       12.1900           NaN      386.7431      401.0467        0.0405        0.0000           NaN           NaN
      1230       12.2900           NaN      386.7431      401.0568        0.0405        0.0000           NaN           NaN
      1240       12.3900           NaN      386.7431      401.0666        0.0405        0.0000           NaN           NaN
      1250       12.4900           NaN      386.7431      401.0762        0.0405        0.0000           NaN           NaN
      1260       12.5900           NaN      386.7431      401.0854        0.0405        0.0000           NaN           NaN
      1270       12.6900           NaN      386.7431      401.0943        0.0405        0.0000           NaN           NaN
      1280       12.7900           NaN      386.7431      401.1030        0.0405        0.0000           NaN           NaN
      1290       12.8900           NaN      386.7431      401.1114        0.0405        0.0000           NaN           NaN
      1300       12.9900           NaN      386.7431      401.1195        0.0405        0.0000           NaN           NaN
      1310       13.0900           NaN      386.7431      401.1274        0.0405        0.0000           NaN           NaN
      1320       13.1900           NaN      386.7431      401.1350        0.0405        0.0000           NaN           NaN
      1330       13.2900           NaN      386.7431      401.1424        0.0405        0.0000           NaN           NaN
      1340       13.3900           NaN      386.7431      401.1496        0.0405        0.0000           NaN           NaN
      1350       13.4900           NaN      386.7431      401.1565        0.0405        0.0000           NaN           NaN
      1360       13.5900           NaN      386.7431      401.1633        0.0405        0.0000           NaN           NaN
      1370       13.6900           NaN      386.7431      401.1698        0.0405        0.0000           NaN           NaN
      1380       13.7900           NaN      386.7431      401.1761        0.0405        0.0000           NaN           NaN
      1390       13.8900           NaN      386.7431      401.1823        0.0405        0.0000           NaN           NaN
      1400       13.9900           NaN      386.7431      401.1882        0.0405        0.0000           NaN           NaN
      1410       14.0900           NaN      386.7431      401.1940        0.0405        0.0000           NaN           NaN
      1420       14.1900           NaN      386.7431      401.1996        0.0405        0.0000           NaN           NaN
      1430       14.2900           NaN      386.7431      401.2050        0.0405        0.0000           NaN           NaN
      1440       14.3900           NaN      386.7431      401.2102        0.0405        0.0000           NaN           NaN
      1450       14.4900           NaN      386.7431      401.2153        0.0405        0.0000           NaN           NaN
      1460       14.5900           NaN      386.7431      401.2202        0.0405        0.0000           NaN           NaN
      1470       14.6900           NaN      386.7431      401.2250        0.0405        0.0000           NaN           NaN
      1480       14.7900           NaN      386.7431      401.2296        0.0405        0.0000           NaN           NaN
      1490       14.8900           NaN      386.7431      401.2341        0.0405        0.0000           NaN           NaN
      1500       14.9900           NaN      386.7431      401.2385        0.0405        0.0000           NaN           NaN
      1510       15.0900           NaN      386.7431      401.2427        0.0405        0.0000           NaN           NaN
      1520       15.1900           NaN      386.7431      401.2468        0.0405        0.0000           NaN           NaN
      1530       15.2900           NaN      386.7431      401.2507        0.0405        0.0000           NaN           NaN
      1540       15.3900           NaN      386.7431      401.2546        0.0405        0.0000           NaN           NaN
      1550       15.4900           NaN      386.7431      401.2583        0.0405        0.0000           NaN           NaN
      1560       15.5900           NaN      386.7431      401.2619        0.0405        0.0000           NaN           NaN
      1570       15.6900           NaN      386.7431      401.2654        0.0405        0.0000           NaN           NaN
      1580       15.7900           NaN      386.7431      401.2687        0.0405        0.0000           NaN           NaN
      1590       15.8900           NaN      386.7431      401.2720        0.0405        0.0000           NaN           NaN
      1600       15.9900           NaN      386.7431      401.2752        0.0405        0.0000           NaN           NaN
      1610       16.0900           NaN      386.7431      401.2783        0.0405        0.0000           NaN           NaN
      1620       16.1900           NaN      386.7431      401.2813        0.0405        0.0000           NaN           NaN
      1630       16.2900           NaN      386.7431      401.2841        0.0405        0.0000           NaN           NaN
      1640       16.3900           NaN      386.7431      401.2869        0.0405        0.0000           NaN           NaN
      1650       16.4900           NaN      386.7431      401.2897        0.0405        0.0000           NaN           NaN
      1660       16.5900           NaN      386.7431      401.2923        0.0405        0.0000           NaN           NaN
      1670       16.6900           NaN      386.7431      401.2948        0.0405        0.0000           NaN           NaN
      1680       16.7900           NaN      386.7431      401.2973        0.0405        0.0000           NaN           NaN
      1690       16.8900           NaN      386.7431      401.2997        0.0405        0.0000           NaN           NaN
      1700       16.9900           NaN      386.7431      401.3020        0.0405        0.0000           NaN           NaN
      1710       17.0900           NaN      386.7431      401.3043        0.0405        0.0000           NaN           NaN
      1720       17.1900           NaN      386.7431      401.3065        0.0405        0.0000           NaN           NaN
      1730       17.2900           NaN      386.7431      401.3086        0.0405        0.0000           NaN           NaN
      1740       17.3900           NaN      386.7431      401.3106        0.0405        0.0000           NaN           NaN
      1750       17.4900           NaN      386.7431      401.3126        0.0405        0.0000           NaN           NaN
      1760       17.5900           NaN      386.7431      401.3145        0.0405        0.0000           NaN           NaN
      1770       17.6900           NaN      386.7431      401.3164        0.0405        0.0000           NaN           NaN
      1780       17.7900           NaN      386.7431      401.3182        0.0405        0.0000           NaN           NaN
      1790       17.8900           NaN      386.7431      401.3200        0.0405        0.0000           NaN           NaN
      1800       17.9900           NaN      386.7431      401.3216        0.0405        0.0000           NaN           NaN
      1810       18.0900           NaN      386.7431      401.3233        0.0405        0.0000           NaN           NaN
      1820       18.1900           NaN      386.7431      401.3249        0.0405        0.0000           NaN           NaN
      1830       18.2900           NaN      386.7431      401.3264        0.0405        0.0000           NaN           NaN
      1840       18.3900           NaN      386.7431      401.3279        0.0405        0.0000           NaN           NaN
      1850       18.4900           NaN      386.7431      401.3294        0.0405        0.0000           NaN           NaN
      1860       18.5900           NaN      386.7431      401.3308        0.0405        0.0000           NaN           NaN
      1870       18.6900           NaN      386.7431      401.3321        0.0405        0.0000           NaN           NaN
      1880       18.7900           NaN      386.7431      401.3335        0.0405        0.0000           NaN           NaN
      1890       18.8900           NaN      386.7431      401.3347        0.0405        0.0000           NaN           NaN
      1900       18.9900           NaN      386.7431      401.3360        0.0405        0.0000           NaN           NaN
      1910       19.0900           NaN      386.7431      401.3372        0.0405        0.0000           NaN           NaN
      1920       19.1900           NaN      386.7431      401.3383        0.0405        0.0000           NaN           NaN
      1930       19.2900           NaN      386.7431      401.3395        0.0405        0.0000           NaN           NaN
      1940       19.3900           NaN      386.7431      401.3406        0.0405        0.0000           NaN           NaN
      1950       19.4900           NaN      386.7431      401.3416        0.0405        0.0000           NaN           NaN
      1960       19.5900           NaN      386.7431      401.3427        0.0405        0.0000           NaN           NaN
      1970       19.6900           NaN      386.7431      401.3436        0.0405        0.0000           NaN           NaN
      1980       19.7900           NaN      386.7431      401.3446        0.0405        0.0000           NaN           NaN
      1990       19.8900           NaN      386.7431      401.3455        0.0405        0.0000           NaN           NaN
      2000       19.9900           NaN      386.7431      401.3465        0.0405        0.0000           NaN           NaN
      2010       20.0900           NaN      386.7431      401.3473        0.0405        0.0000           NaN           NaN
      2020       20.1900           NaN      386.7431      401.3482        0.0405        0.0000           NaN           NaN
      2030       20.2900           NaN      386.7431      401.3490        0.0405        0.0000           NaN           NaN
      2040       20.3900           NaN      386.7431      401.3498        0.0405        0.0000           NaN           NaN
      2050       20.4900           NaN      386.7431      401.3506        0.0405        0.0000           NaN           NaN
      2060       20.5900           NaN      386.7431      401.3513        0.0405        0.0000           NaN           NaN
      2070       20.6900           NaN      386.7431      401.3521        0.0405        0.0000           NaN           NaN
      2080       20.7900           NaN      386.7431      401.3528        0.0405        0.0000           NaN           NaN
      2090       20.8900           NaN      386.7431      401.3534        0.0405        0.0000           NaN           NaN
      2100       20.9900           NaN      386.7431      401.3541        0.0405        0.0000           NaN           NaN
      2100       21.0000           NaN      386.7431      401.3541        0.0405        0.0000           NaN           NaN
      2100       21.0000           NaN      386.7431      401.3541        0.0405        0.0000           NaN           NaN
