# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0004496578        0.0137866535       13.1447462223        0.1030621548    99987.8987028275
          2        0.0013742077        0.0111162883       13.1455493476        0.1208919078    99947.1254162491
          3        0.0024796521        0.0099060701       13.1465096105        0.1955615168    99855.2745494491
          4        0.0037964792        0.0084196090       13.1476534429        0.3400063196    99684.9015691343
          5        0.0053534720        0.0066027319       13.1490057767        0.6314929823    99403.7018429441
          6        0.0071685974        0.0071646821       13.1505820847        1.0720566053    98975.1281777524
          7        0.0092302336        0.0092487534       13.1523720353        1.7014804771    98359.3183184450
          8        0.0114616901        0.0124049009       13.1543086160        2.5610955466    97514.4317347047
          9        0.0136592809        0.0166978128       13.1562142583        3.6915861117    96398.4329526537
         10        0.0153932503        0.0224379733       13.1577146633        5.1302470036    94971.1796103880
         11        0.0158651093        0.0313630440       13.1581147213        6.9080040029    93196.4580553559
         12        0.0137275731        0.0444351423       13.1562418938        9.0467164375    91043.4893808403
         13        0.0068898632        0.0647021359       13.1502768183       11.5573038290    88487.5145717641
         14        0.0076696476        0.0952244755       13.1375902064       14.4389183433    85509.3813297009
         15        0.0341068340        0.1408020065       13.1145656973       17.6786394601    82094.5011927372
         16        0.0780248332        0.2076662608       13.0763273384       21.2503122325    78231.9396593418
         17        0.1469906813        0.3041623313       13.0162899885       25.1109760580    73914.5668815836
         18        0.2512400821        0.4412696408       12.9255460323       29.1941906163    69141.0660259403
         19        0.4044831270        0.6312102364       12.7921640711       33.4003989925    63920.2338271925
         20        0.6248020049        0.8819806886       12.6004072866       37.5844524402    58277.5063643540
         21        0.9357350390        1.1929578688       12.3297894410       41.5403632903    52263.0168432629
         22        1.3678146227        1.5624683325       11.9537359647       44.9829900213    45959.7081284386
         23        1.9612480152        2.0298822797       11.4372514812       47.5244223768    39489.1744842188
         24        2.7697791337        2.7697308749       10.7335603638       48.6476979334    33012.3500965593
         25        3.8613889738        3.8613481503        9.7834922389       47.7091879856    26722.4278544196
         26        5.3039920347        5.3040303048        8.5279006866       44.0491812323    20828.8314836403
         27        7.1153045690        7.1154921283        6.9512093466       37.3472047728    15533.4203197450
         28        8.9406740411        8.9409875806        5.3613245546       29.3709513372    11412.2538000593
         29       10.5746232082       10.5750387277        3.9372138964       21.6994196619     8248.0164132388
         30       11.7975014092       11.7979529363        2.8697616792       15.9679127875     5857.6412186486
         31       12.4375726716       12.4380455443        2.3082580879       13.4673787592     4085.7006561538
         32       12.4262391837       12.4267589008        2.3124036545       14.7827999230     2801.2028692126
         33       11.8259888357       11.8265681305        2.8279981216       19.6119570611     1894.1258591618
         34       10.8240207925       10.8246127641        3.6924450781       26.8103381555     1272.3348735198
         35        9.6928634633        9.6933738052        4.6689427665       34.6533150459      859.1368799269
         36        8.7237362149        8.7240954164        5.5043767639       41.2778529827      591.6386951680
         37        8.1462523836        8.1464855336        5.9991090915       45.2143455211      419.9059900645
         38        8.0589073562        8.0591272546        6.0674235577       45.8472648712      306.6354668516
         39        8.3992644226        8.3995940111        5.7634888320       43.6137307932      226.7297799647
         40        8.9723693885        8.9728675318        5.2567096741       39.8172270901      166.0264039240
         41        9.5316804635        9.5323319074        4.7614046768       36.0946895429      118.7387411477
         42        9.8798854028        9.8806378813        4.4491543966       33.7527913976       83.8939408198
         43        9.9431195813        9.9439213013        4.3842346660       33.2803399382       61.7442017389
         44        9.7825682324        9.7833781795        4.5134743368       34.2737440306       51.2779006393
         45        9.5402256437        9.5410206314        4.7133810715       35.7963225238       49.4689431126
         46        9.3528235144        9.3536092383        4.8649873466       36.9469167130       52.1055880115
         47        9.2851146913        9.2859212922        4.9119033709       37.3001234505       55.3658805560
         48        9.3175788789        9.3184373177        4.8710512078       36.9868435640       57.0807429447
         49        9.3850309866        9.3859546363        4.7991054529       36.4386773226       56.9810246079
         50        9.4303164194        9.4313017578        4.7457775300       36.0330847644       55.9672969583
         51        9.4348484918        9.4358857413        4.7272251360       35.8920352667       55.0572619973
         52        9.4133306212        9.4144137348        4.7306250685       35.9174686839       54.7183092467
         53        9.3889440796        9.3900742346        4.7357613004       35.9556268865       54.8379639569
         54        9.3739023988        9.3750857729        4.7319573163       35.9255737117       55.0807287224
         55        9.3669377016        9.3681800299        4.7202733484       35.8356021890       55.2189373802
         56        9.3616796342        9.3629853593        4.7062146970       35.7276431540       55.2212607379
         57        9.3542034944        9.3555737035        4.6931568885       35.6273285529       55.1581964303
         58        9.3444057245        9.3458414986        4.6811446098       35.5349363636       55.0907736897
         59        9.3336174172        9.3351216159        4.6689693227       35.4412450429       55.0340610633
         60        9.3226005731        9.3241765325        4.6559154410       35.3408148868       54.9780151971
         61        9.3113171027        9.3129683147        4.6419622267       35.2334948790       54.9134051804
         62        9.2995059859        9.3012359882        4.6272808054       35.1205867279       54.8390147925
         63        9.2870357544        9.2888481854        4.6119266052       35.0025078455       54.7571256886
         64        9.2738894156        9.2757880761        4.5958522447       34.8788935413       54.6693065877
         65        9.2600613468        9.2620502145        4.5789973042       34.7492810406       54.5758388359
         66        9.2455220793        9.2476053031        4.5613189224       34.6133416035       54.4765692912
         67        9.2302299937        9.2324118929        4.5427814424       34.4708012382       54.3713811240
         68        9.2141424766        9.2164275460        4.5233465038       34.3213652621       54.2601900069
         69        9.1972167567        9.1996096727        4.5029721342       34.1647114676       54.1428635863
         70        9.1794079805        9.1819136059        4.4816142457       34.0005015295       54.0192084570
         71        9.1606684594        9.1632918474        4.4592270997       33.8283845378       53.8889867371
         72        9.1409192731        9.1435897799        4.4357879731       33.6482045920       54.9738683388
         73        9.1206251623        9.1232882206        4.4119814828       33.4661903680       55.9901460001
         74        9.1003056197        9.1029612718        4.3882016181       33.2852908373       56.0932641329
         75        9.0800178527        9.0826661946        4.3643978360       33.1043880509       56.0164055862
         76        9.0597005045        9.0623415815        4.3406238377       32.9237585097       55.8922062032
         77        9.0393325258        9.0419663627        4.3168981002       32.7435100137       55.7536834298
         78        9.0189554701        9.0215821124        4.2931841813       32.5638066447       55.1591615573
         79        8.9985204336        9.0011398963        4.2695248077       32.3843423000       54.7403624499
