#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0002       58.5280      386.7429      386.6834        3.0026    55584.8322    94976.3099       13.1577
        20        0.0019       58.5280      386.7429      389.1649       21.9975    34108.7204    58315.0908       12.6004
        30        0.0106       58.5280      386.7429      432.4927        9.3457     3428.3664     5873.6091        2.8698
        40        0.0281       58.5280      386.7429      421.8643       23.3043       97.1721      205.8436        5.2567
        50        0.0566       58.5280      386.7429      424.1393       21.0895       32.7566       92.0004        4.7458
        60        0.1030       58.5280      386.7429      424.5394       20.6843       32.1776       90.3188        4.6559
        70        0.1787       58.5280      386.7429      425.3155       19.8998       31.6164       88.0197        4.4816
        80        0.2785       58.5280      386.7429      426.3650       18.8491       31.9076       86.7220        4.2459
        90        0.3785       58.5280      386.7429      427.4039       17.8117       30.9827       83.3692        4.0126
       100        0.4785       58.5280      386.7429      428.4219       16.7953       30.0721       80.0767        3.7840
       110        0.5785       58.5280      386.7429      429.4182       15.8005       29.1529       76.8065        3.5602
       120        0.6785       58.5280      386.7429      430.3925       14.8283       27.8771       72.9656        3.3414
       130        0.7785       58.5280      386.7429      431.3434       13.8790       26.8671       69.6180        3.1279
       140        0.8785       58.5280      386.7429      432.2705       12.9536       25.9314       66.4383        2.9197
       150        0.9785       58.5280      386.7429      433.1728       12.0530       24.9895       63.2902        2.7170
       160        1.0785       58.5280      386.7429      434.0497       11.1781       23.7595       59.6937        2.5201
       170        1.1785       58.5280      386.7429      434.9001       10.3295       22.6775       56.3951        2.3291
       180        1.2785       58.5280      386.7429      435.7230        9.5084       21.7158       53.3491        2.1443
       190        1.3785       58.5280      386.7429      436.5176        8.7156       20.7442       50.3345        1.9658
       200        1.4785       58.5280      386.7429      437.2829        7.9523       19.5929       47.0633        1.7940
       210        1.5785       58.5280      386.7429      438.0176        7.2196       18.5022       43.9478        1.6289
       220        1.6785       58.5280      386.7429      438.7206        6.5186       17.5051       41.0465        1.4711
       230        1.7785       58.5280      386.7429      439.3904        5.8507       16.5203       38.2226        1.3206
       240        1.8785       58.5280      386.7429      440.0258        5.2174       15.4101       35.2437        1.1779
       250        1.9785       58.5280      386.7429      440.6252        4.6201       14.3263       32.3715        1.0433
       260        2.0785       58.5280      386.7429      441.1867        4.0606       13.3192       29.6948        0.9172
       270        2.1785       58.5280      386.7429      441.7090        3.5403       12.3249       27.1069        0.7999
       280        2.2785       58.5280      386.7429      442.1908        3.0606       11.2893       24.5180        0.6917
       290        2.3785       58.5280      386.7429      442.6310        2.6224       10.2400       21.9765        0.5929
       300        2.4785       58.5280      386.7429      443.0289        2.2264        9.2871       19.6717        0.5035
       310        2.5785       58.5280      386.7429      443.3847        1.8725        8.3809       17.5187        0.4236
       320        2.6785       58.5280      386.7429      443.6990        1.5599        7.5114       15.4990        0.3530
       330        2.7785       58.5280      386.7429      443.9734        1.2872        6.6198       13.5097        0.2914
       340        2.8785       58.5280      386.7429      444.2098        1.0523        5.8202       11.7422        0.2383
       350        2.9785       58.5280      386.7429      444.4110        0.8524        5.0804       10.1368        0.1931
       360        3.0785       58.5280      386.7429      444.5800        0.6845        4.4106        8.7054        0.1551
       370        3.1785       58.5280      386.7429      444.7204        0.5452        3.7992        7.4227        0.1236
       380        3.2785       58.5280      386.7429      444.8356        0.4309        3.2286        6.2526        0.0977
       390        3.3785       58.5280      386.7429      444.9292        0.3382        2.7316        5.2450        0.0767
       400        3.4785       58.5280      386.7429      445.0043        0.2637        2.2911        4.3650        0.0599
       410        3.5785       58.5280      386.7429      445.0641        0.2044        1.8986        3.5932        0.0464
       420        3.6785       58.5280      386.7429      445.1114        0.1577        1.5697        2.9514        0.0358
       430        3.7785       58.5280      386.7429      445.1484        0.1210        1.2879        2.4072        0.0275
       440        3.8785       58.5280      386.7429      445.1772        0.0925        1.0485        1.9495        0.0210
       450        3.9785       58.5280      386.7429      445.1995        0.0704        0.8472        1.5679        0.0160
       460        4.0785       58.5280      386.7429      445.2167        0.0534        0.6795        1.2523        0.0122
       470        4.1785       58.5280      386.7429      445.2299        0.0404        0.5411        0.9935        0.0092
       480        4.2785       58.5280      386.7429      445.2400        0.0304        0.4279        0.7830        0.0069
       490        4.3785       58.5280      386.7429      445.2477        0.0228        0.3360        0.6131        0.0052
       500        4.4785       58.5280      386.7429      445.2535        0.0171        0.2621        0.4770        0.0039
       510        4.5785       58.5280      386.7429      445.2579        0.0127        0.2031        0.3689        0.0029
       520        4.6785       58.5280      386.7429      445.2612        0.0095        0.1564        0.2835        0.0022
       530        4.7785       58.5280      386.7429      445.2637        0.0070        0.1197        0.2165        0.0016
       540        4.8785       58.5280      386.7429      445.2656        0.0052        0.0911        0.1645        0.0012
       550        4.9785       58.5280      386.7429      445.2670        0.0038        0.0689        0.1242        0.0009
       560        5.0785       58.5280      386.7429      445.2680        0.0028        0.0518        0.0933        0.0006
       570        5.1785       58.5280      386.7429      445.2688        0.0020        0.0388        0.0697        0.0005
       580        5.2785       58.5280      386.7429      445.2693        0.0015        0.0288        0.0518        0.0003
