# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000652556        9.9735739874      100.0000000000        0.0000000000        0.0000000000
          2        0.0000653563        8.3113116562      100.0000000000        0.0000000000        0.0000000000
          3        0.0000654773        6.9260930468      100.0000000000        0.0000000000        0.0000000000
          4        0.0000656228        5.7717442057      100.0000000000        0.0000000000        0.0000000000
          5        0.0000657979        4.8097868381      100.0000000000        0.0000000000        0.0000000000
          6        0.0000660090        4.0081556984      100.0000000000        0.0000000000        0.0000000000
          7        0.0000662642        3.3401297486      100.0000000000        0.0000000000        0.0000000000
          8        0.0000665736        2.7834414572      100.0000000000        0.0000000000        0.0000000000
          9        0.0000669502        2.3195345477      100.0000000000        0.0000000000        0.0000000000
         10        0.0000674109        1.9329454564      100.0000000000        0.0000000000        0.0000000000
         11        0.0000679772        1.6107878803      100.0000000000        0.0000000000        0.0000000000
         12        0.0000686772        1.3423232336      100.0000000000        0.0000000000        0.0000000000
         13        0.0000695466        1.1186026947      100.0000000000        0.0000000000        0.0000000000
         14        0.0000706321        0.9321689123      100.0000000000        0.0000000000        0.0000000000
         15        0.0000719942        0.7768074269      100.0000000000        0.0000000000        0.0000000000
         16        0.0000737142        0.6473395224      100.0000000000        0.0000000000        0.0000000000
         17        0.0000759009        0.5394496020      100.0000000000        0.0000000000        0.0000000000
         18        0.0000787020        0.4495413350      100.0000000000        0.0000000000        0.0000000000
         19        0.0000823166        0.3746177792      100.0000000000        0.0000000000        0.0000000000
         20        0.0000869990        0.3121814827      100.0000000000        0.0000000000        0.0000000000
         21        0.0000929776        0.2601512356      100.0000000000        0.0000000000        0.0000000000
         22        0.0001000865        0.2167926964      100.0000000000        0.0000000000        0.0000000000
         23        0.0001070432        0.1806605804      100.0000000000        0.0000000000        0.0000000000
         24        0.0001111343        0.1505504837      100.0000000000        0.0000000000        0.0000000000
         25        0.0001094718        0.1254587364      100.0000000000        0.0000000000        0.0000000000
         26        0.0001010754        0.1045489471      100.0000000000        0.0000000000        0.0000000000
         27        0.0000872928        0.0871241226      100.0000000000        0.0000000000        0.0000000000
         28        0.0000723530        0.0829753548      100.0000000000        0.0000000000        0.0000000000
         29        0.0000580988        0.0790241475      100.0000000000        0.0000000000        0.0000000000
         30        0.0000460026        0.0752610928      100.0000000000        0.0000000000        0.0000000000
         31        0.0000373296        0.0716772312      100.0000000000        0.0000000000        0.0000000000
         32        0.0000325362        0.0682640297      100.0000000000        0.0000000000        0.0000000000
         33        0.0000306160        0.0650133616      100.0000000000        0.0000000000        0.0000000000
         34        0.0000290298        0.0619174872      100.0000000000        0.0000000000        0.0000000000
         35        0.0000243217        0.0589690354      100.0000000000        0.0000000000        0.0000000000
         36        0.0000130860        0.0561609860      100.0000000000        0.0000000000        0.0000000000
         37        0.0000071678        0.0534866533      100.0000000000        0.0000000000        0.0000000000
         38        0.0000376224        0.0509396697      100.0000000000        0.0000000000        0.0000000000
         39        0.0000784110        0.0485139710      100.0000000000        0.0000000000        0.0000000000
         40        0.0001294237        0.0462037817      100.0000000000        0.0000000000        0.0000000000
         41        0.0001912783        0.0440036014      100.0000000000        0.0000000000        0.0000000000
         42        0.0002659717        0.0419081914      100.0000000000        0.0000000000        0.0000000000
         43        0.0003569122        0.0399125629      100.0000000000        0.0000000000        0.0000000000
         44        0.0004684201        0.0380119641      100.0000000000        0.0000000000        0.0000000000
         45        0.0006051000        0.0362018699      100.0000000000        0.0000000000        0.0000000000
         46        0.0007715167        0.0344779705      100.0000000000        0.0000000000        0.0000000000
         47        0.0009723254        0.0328361613      100.0000000000        0.0000000000        0.0000000000
         48        0.0012126717        0.0312725333      100.0000000000        0.0000000000        0.0000000000
         49        0.0014985347        0.0297833635      100.0000000000        0.0000000000        0.0000000000
         50        0.0018368312        0.0283651062      100.0000000000        0.0000000000        0.0000000000
         51        0.0022353285        0.0270143846      100.0000000000        0.0000000000        0.0000000000
         52        0.0027025418        0.0257279825      100.0000000000        0.0000000000        0.0000000000
         53        0.0032477155        0.0245028372      100.0000000000        0.0000000000        0.0000000000
         54        0.0038808740        0.0233360315      100.0000000000        0.0000000000        0.0000000000
         55        0.0046128721        0.0222247872      100.0000000000        0.0000000000        0.0000000000
         56        0.0054554010        0.0211664585      100.0000000000        0.0000000000        0.0000000000
         57        0.0064209591        0.0201585254      100.0000000000        0.0000000000        0.0000000000
         58        0.0075228057        0.0191985880      100.0000000000        0.0000000000        0.0000000000
         59        0.0087749046        0.0182843607      100.0000000000        0.0000000000        0.0000000000
         60        0.0101918531        0.0174136666      100.0000000000        0.0000000000        0.0000000000
         61        0.0117887893        0.0165844325      100.0000000000        0.0000000000        0.0000000000
         62        0.0135812762        0.0157946840      100.0000000000        0.0000000000        0.0000000000
         63        0.0155851632        0.0150425406      100.0000000000        0.0000000000        0.0000000000
         64        0.0178164254        0.0143262112      100.0000000000        0.0000000000        0.0000000000
         65        0.0202909814        0.0136439903      100.0000000000        0.0000000000        0.0000000000
         66        0.0230244895        0.0129942534      100.0000000000        0.0000000000        0.0000000000
         67        0.0260321260        0.0123754533      100.0000000000        0.0000000000        0.0000000000
         68        0.0293283453        0.0117861166      100.0000000000        0.0000000000        0.0000000000
         69        0.0329266270        0.0112248400      100.0000000000        0.0000000000        0.0000000000
         70        0.0368392134        0.0106902869      100.0000000000        0.0000000000        0.0000000000
         71        0.0410768403        0.0101811845      100.0000000000        0.0000000000        0.0000000000
         72        0.0456484665        0.0096963205      100.0000000000        0.0000000000        0.0000000000
