# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000652610        9.2120093200      100.0000000000        0.0000000000        0.0000000000
          2        0.0000653682        7.6766744333      100.0000000000        0.0000000000        0.0000000000
          3        0.0000654970        6.3972286944      100.0000000000        0.0000000000        0.0000000000
          4        0.0000656518        5.3310239120      100.0000000000        0.0000000000        0.0000000000
          5        0.0000658381        4.4425199267      100.0000000000        0.0000000000        0.0000000000
          6        0.0000660625        3.7020999389      100.0000000000        0.0000000000        0.0000000000
          7        0.0000663336        3.0850832824      100.0000000000        0.0000000000        0.0000000000
          8        0.0000666618        2.5709027353      100.0000000000        0.0000000000        0.0000000000
          9        0.0000670605        2.1424189461      100.0000000000        0.0000000000        0.0000000000
         10        0.0000675470        1.7853491218      100.0000000000        0.0000000000        0.0000000000
         11        0.0000681433        1.4877909348      100.0000000000        0.0000000000        0.0000000000
         12        0.0000688777        1.2398257790      100.0000000000        0.0000000000        0.0000000000
         13        0.0000697863        1.0331881492      100.0000000000        0.0000000000        0.0000000000
         14        0.0000709153        0.8609901243      100.0000000000        0.0000000000        0.0000000000
         15        0.0000723252        0.7174917703      100.0000000000        0.0000000000        0.0000000000
         16        0.0000740959        0.5979098086      100.0000000000        0.0000000000        0.0000000000
         17        0.0000763341        0.4982581738      100.0000000000        0.0000000000        0.0000000000
         18        0.0000791834        0.4152151449      100.0000000000        0.0000000000        0.0000000000
         19        0.0000828366        0.3460126207      100.0000000000        0.0000000000        0.0000000000
         20        0.0000875388        0.2883438506      100.0000000000        0.0000000000        0.0000000000
         21        0.0000935100        0.2402865422      100.0000000000        0.0000000000        0.0000000000
         22        0.0001005855        0.2002387852      100.0000000000        0.0000000000        0.0000000000
         23        0.0001075017        0.1668656544      100.0000000000        0.0000000000        0.0000000000
         24        0.0001115737        0.1390547120      100.0000000000        0.0000000000        0.0000000000
         25        0.0001099362        0.1158789267      100.0000000000        0.0000000000        0.0000000000
         26        0.0001016317        0.0965657723      100.0000000000        0.0000000000        0.0000000000
         27        0.0000880915        0.0804714770      100.0000000000        0.0000000000        0.0000000000
         28        0.0000736748        0.0766395019      100.0000000000        0.0000000000        0.0000000000
         29        0.0000604627        0.0729900018      100.0000000000        0.0000000000        0.0000000000
         30        0.0000502418        0.0695142874      100.0000000000        0.0000000000        0.0000000000
         31        0.0000446401        0.0662040832      100.0000000000        0.0000000000        0.0000000000
         32        0.0000445251        0.0630515078      100.0000000000        0.0000000000        0.0000000000
         33        0.0000493769        0.0600490550      100.0000000000        0.0000000000        0.0000000000
         34        0.0000572506        0.0571895762      100.0000000000        0.0000000000        0.0000000000
         35        0.0000654127        0.0544662631      100.0000000000        0.0000000000        0.0000000000
         36        0.0000713353        0.0518726315      100.0000000000        0.0000000000        0.0000000000
         37        0.0000735950        0.0494025062      100.0000000000        0.0000000000        0.0000000000
         38        0.0000723031        0.0470500059      100.0000000000        0.0000000000        0.0000000000
         39        0.0000688789        0.0448095294      100.0000000000        0.0000000000        0.0000000000
         40        0.0000652724        0.0426757423      100.0000000000        0.0000000000        0.0000000000
         41        0.0000630198        0.0406435641      100.0000000000        0.0000000000        0.0000000000
         42        0.0000626262        0.0387081563      100.0000000000        0.0000000000        0.0000000000
         43        0.0000635721        0.0368649108      100.0000000000        0.0000000000        0.0000000000
         44        0.0000648597        0.0351094388      100.0000000000        0.0000000000        0.0000000000
         45        0.0000656891        0.0334375608      100.0000000000        0.0000000000        0.0000000000
         46        0.0000658309        0.0318452960      100.0000000000        0.0000000000        0.0000000000
         47        0.0000655420        0.0303288533      100.0000000000        0.0000000000        0.0000000000
         48        0.0000652114        0.0288846222      100.0000000000        0.0000000000        0.0000000000
         49        0.0000650605        0.0275091640      100.0000000000        0.0000000000        0.0000000000
         50        0.0000650808        0.0261992038      100.0000000000        0.0000000000        0.0000000000
         51        0.0000651569        0.0249516227      100.0000000000        0.0000000000        0.0000000000
         52        0.0000652032        0.0237634502      100.0000000000        0.0000000000        0.0000000000
         53        0.0000652069        0.0226318573      100.0000000000        0.0000000000        0.0000000000
         54        0.0000651941        0.0215541498      100.0000000000        0.0000000000        0.0000000000
         55        0.0000651857        0.0205277617      100.0000000000        0.0000000000        0.0000000000
         56        0.0000651850        0.0195502493      100.0000000000        0.0000000000        0.0000000000
         57        0.0000651871        0.0186192850      100.0000000000        0.0000000000        0.0000000000
         58        0.0000651886        0.0177326524      100.0000000000        0.0000000000        0.0000000000
         59        0.0000651890        0.0168882404      100.0000000000        0.0000000000        0.0000000000
