# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0004962263        0.0994437527        2.6810623219      554.0036036702      453.8422383637
          2        0.0004962263        0.0994437527        2.6810623219      554.0036036702      453.8422383637
          3        0.0012750127        0.2365868856        2.6817978585      553.8617648994      453.8193497149
          4        0.0021185381        0.4103098347        2.6825856743      553.8621756484      453.7902965589
          5        0.0029997760        0.6213573588        2.6834035742      553.8569986123      453.7545056580
          6        0.0038690062        0.8762843481        2.6842018482      553.8432389618      453.7108254047
          7        0.0046421509        1.1825243911        2.6848970851      553.8163848538      453.6578430276
          8        0.0051842604        1.5450166990        2.6853560481      553.7697642542      453.5938436553
          9        0.0052867889        1.9573678089        2.6853734963      553.6936638044      453.5167602352
         10        0.0046376004        2.4036858675        2.6846429176      553.5741728243      453.4241111201
         11        0.0027839517        2.8565788243        2.6827204121      553.3917662133      453.3129182660
         12        0.0009079151        3.3023054084        2.6789852565      553.1197462006      453.1795951975
         13        0.0072857464        3.7134033224        2.6726076800      552.7228891512      453.0197949719
         14        0.0174129200        4.0982602139        2.6625471051      552.9176912036      452.8282241887
         15        0.0324951576        4.3372840257        2.6476232793      551.9748291583      452.5984615105
         16        0.0536681218        4.3907831284        2.6267227566      550.3180233189      452.3228281367
         17        0.0815838377        4.2153587707        2.5992011246      548.9622756808      451.9922828985
         18        0.1158181879        3.6601081995        2.5654593173      547.3088388195      451.5962089569
         19        0.1543865790        2.7364202823        2.5274146107      545.4167204046      451.1220209361
         20        0.1941190082        2.0226434346        2.4881351781      543.3860562387      450.5547218655
         21        0.2328015427        2.5903447381        2.4497554301      541.2792363556      449.8765290574
         22        0.2724261041        2.8899567597        2.4103125122      539.0015138403      449.0664895162
         23        0.3194419946        2.3858049938        2.3635005499      536.2924801172      448.1000010444
         24        0.3785384167        2.0870856306        2.3047207275      532.9525669155      446.9482916902
         25        0.4468815684        2.3504497952        2.2366891539      529.0502051729      445.5779433122
         26        0.5202625760        2.5562005711        2.1634522984      524.6976190325      443.9505007876
         27        0.6035385874        2.8142393614        2.0802231096      519.6727188030      442.0221530427
         28        0.7068434815        3.1924507906        1.9770665794      513.5557895476      439.7434633032
         29        0.8341178415        3.6477815227        1.8500614028      506.1456007560      437.0592672093
         30        0.9680185065        4.1410349549        1.7159875474      498.2711907805      434.1815940160
         31        1.0977387939        4.6295903472        1.5857248074      490.5374433395      431.3075220138
         32        1.2240033645        5.1073424308        1.4588322103      482.9716670597      428.4756825431
         33        1.3473254863        5.5471065483        1.3348101544      475.5695912659      425.7005077593
         34        1.4674964070        5.9195429381        1.2138619090      468.3495933624      422.9929368361
         35        1.5842876991        6.1975150154        1.0962100234      461.3279092838      420.3611247278
         36        1.6980036672        6.3554683962        0.9815584463      454.4991993909      417.8110071929
         37        1.8094625178        6.3880587160        0.8691107337      447.8377672161      415.3467554513
         38        1.9196847594        6.3016201532        0.7578733569      441.3092940414      412.9711322716
         39        2.0296729356        6.1083927740        0.6468701433      434.8791254928      410.6857700700
         40        2.1404464618        5.8366293785        0.5351083466      428.5111518576      408.4913853834
         41        2.2532733192        5.5179194697        0.4213530029      422.1594644664      406.3879371454
         42        2.3699509262        5.1761994588        0.3038533421      415.7582323960      404.3747326152
         43        2.4930068521        4.8361147974        0.1801472037      409.2144205943      402.4504849416
         44        2.6257480782        4.5079061769        0.0470129158      402.4060427398      400.6133289232
         45        2.7721415575        4.2008784655        0.0994145229      395.1864893866      398.8608053148
         46        2.9365467036        3.9286124337        0.2633830088      387.3942283354      397.1898273795
         47        3.1233447196        3.7134599844        0.4491623551      378.8662471083      395.5966457710
         48        3.3365240907        3.6137959342        0.6606405270      369.4530947825      394.0768282504
         49        3.5792868068        3.6823559621        0.9009399782      359.0332027389      392.6252688242
         50        3.8537350386        3.8817155485        1.1721122727      347.5243181107      391.2362365703
         51        4.1606830134        4.1687212939        1.4749546067      334.8904360941      389.9034682375
         52        4.4996160621        4.5048404075        1.8089696680      321.1434302732      388.6203017405
         53        4.8687928954        4.8722108178        2.1724650287      306.3395130168      387.3798412591
         54        5.2654637541        5.2672425825        2.5627654578      290.5715047260      386.1751399780
         55        5.6861610611        5.6865096940        2.9764959231      273.9584698498      384.9993843499
         56        6.1270131822        6.1270422784        3.4098871717      256.6727650643      383.8460643950
         57        6.5840342231        6.5841064972        3.8590580280      238.8130637946      382.7091234934
         58        7.0533627244        7.0534751082        4.3202479462      220.5079549061      381.5830512195
         59        7.5314187054        7.5315667737        4.7899700912      201.9044502032      380.4629600059
         60        8.0149825771        8.0151608491        5.2650882661      183.2462076562      379.3446164477
         61        8.5012016070        8.5014034066        5.7428232700      164.5591727968      378.2244368132
         62        8.9875395303        8.9877576269        6.2207038510      145.9385280397      377.0994543720
         63        9.4716885893        9.4719172410        6.6964810320      127.3284135918      375.9672657430
         64        9.9514635557        9.9517012616        7.1680248570      108.8330996271      374.8259633321
         65       10.4246952906       10.4249354217        7.6332206670       90.5628462104      373.6740601078
         66       10.8891382330       10.8893703903        8.0898789288       72.7948911047      372.5104118671
         67       11.3424026271       11.3426164371        8.5356691595       56.4363051813      371.3341405346
         68       11.7819187307       11.7821049364        8.9680850130       46.0863563300      370.1445612123
         69       12.2049368188       12.2050877287        9.3844442521       45.4863934151      368.9411148240
         70       12.6085634898       12.6086731380        9.7819241127       50.2283345099      367.7233074996
         71       12.9898315956       12.9898957389       10.1576294551       57.7890636694      366.4906574920
         72       13.3457981115       13.3458141250       10.5086881721       66.5700010416      365.2426502029
         73       13.6736616207       13.6736283297       10.8323657418       75.5622671036      363.9787017804
         74       13.9708890674       13.9708065142       11.1261888436       84.4820633733      362.6981316541
         75       14.2353403050       14.2352095000       11.3880668530       93.0735414776      361.4001442633
         76       14.4653789359       14.4652016182       11.6163999968      101.1159816197      360.0838200616
         77       14.6599590842       14.6597375008       11.8101640652      108.4649012735      358.7481156459
         78       14.8186799834       14.8184166865       11.9689637571      115.1840946790      357.3918725672
         79       14.9418033376       14.9415010272       12.0930497362      121.1632788185      356.0138340491
         80       15.0302319668       15.0298933830       12.1832979325      126.4416387440      354.6126685136
         81       15.0854518266       15.0850797059       12.2411531214      131.1226063945      353.1869985274
         82       15.1094426774       15.1090397596       12.2685419124      135.1707279132      351.7354335738
         83       15.1045651142       15.1041342127       12.2677626633      138.7497566145      350.2566049518
         84       15.0734333428       15.0729774664       12.2413614652      141.9971944540      348.7492459665
         85       15.0187834415       15.0183059307       12.1920037015      144.9589476536      347.2125523867
         86       14.9433439132       14.9428485830       12.1223478153      147.5734513441      345.6459288577
         87       14.8497196087       14.8492108522       12.0349320575      149.9934965790      344.0483185144
         88       14.7402935538       14.7397764010       11.9320787071      151.8766698056      342.4183635613
         89       14.6171500714       14.6166301364       11.8158190415      153.1738566949      340.7552378261
         90       14.4820211737       14.4815046685       11.6878409842      153.7156147699      339.0585555347
         91       14.3362562261       14.3357496220       11.5494594473      153.2973272700      337.3281790393
         92       14.1808134216       14.1803233700       11.4016079440      151.8867835379      335.5642080768
         93       14.0162705988       14.0158036541       11.2448490725      149.3616379026      333.7669855970
         94       13.8428523417       13.8424146946       11.0794008885      145.7522203469      331.9370873859
         95       13.6604700528       13.6600672801       10.9051759405      141.0642821162      330.0753159145
         96       13.4687719381       13.4684087913       10.7218299873      135.3645353605      328.1827735799
         97       13.2671991777       13.2668794203       10.5288167638      128.7516317776      326.2609133141
         98       13.0550454768       13.0547717823       10.3254460516      121.3426213632      324.3113262225
         99       12.8315183795       12.8312922909       10.1109434784      113.2678212796      322.3357197913
        100       12.5957993083       12.5956212541        9.8845090970      104.6525796644      320.3359114099
        101       12.3471004450       12.3469698342        9.6453728921       95.6229357532      318.3138866381
        102       12.0847168228       12.0846320756        9.3928456222       86.3089495048      316.2719046823
        103       11.8080722332       11.8080309586        9.1263636375       76.8180972328      314.2124135315
        104       11.5167578521       11.5167570004        8.8455265998       67.2519335509      312.1379894246
        105       11.2105628145       11.2105988025        8.5501273522       57.7307761486      310.0513209902
        106       10.8894963208       10.8895651601        8.2401735283       48.3850173120      307.9551750759
        107       10.5538012210       10.5538986497        7.9159008486       39.5168904845      305.8523674745
        108       10.2039593838       10.2040809002        7.5777783982       34.3165939485      303.7457327998
        109        9.8406895161        9.8408304588        7.2265065378       37.1903832661      301.6381012705
        110        9.4649382195        9.4650938216        6.8630082109       45.9839392930      299.5322741318
        111        9.0778654800        9.0780308697        6.4884148142       56.7054608047      297.4309693431
        112        8.6808258151        8.6809960504        6.1040478250       68.0455397135      295.3368054455
        113        8.2753470739        8.2755171328        5.7113981341       80.2010669337      293.2522931663
        114        7.8631049002        7.8632798176        5.3121011343       92.9996668265      291.1797930494
        115        7.4458977710        7.4467131003        4.9079123810      106.0169776970      289.1215233308
        116        7.0256218218        7.0270260676        4.5006830276      119.1678768459      287.0795563654
        117        6.6042455736        6.6064415562        4.0923351594      132.3789170762      285.0558085757
        118        6.1837851930        6.1969849777        3.6848376445      145.5784047768      283.0520381688
        119        5.7662803973        5.7971168753        3.2801826110      158.6936157926      281.0698465048
        120        5.3537709745        5.4013937663        2.8803625188      171.6516632186      279.1106898335
        121        4.9482738045        5.0120410991        2.4873477172      184.3803462883      277.1758883961
        122        4.5517602569        4.6312316466        2.1030643654      196.8089932819      275.2666393229
        123        4.1661338901        4.2614414944        1.7293726438      208.8692704930      273.3840310662
        124        3.7932084860        3.9074674293        1.3680452883      220.4960160710      271.5290586244
        125        3.4346865899        3.5720341996        1.0207466153      231.6280228349      269.7026388788
        126        3.0921388839        3.2601925943        0.6890123555      242.2088319704      267.9056253787
        127        2.7669848647        2.9672272559        0.3742307610      252.1874260694      266.1388220235
