#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0000      365.8097    13280.8518    13280.5597     2024.3612     1658.2630     1006.7047        2.6827
        20        0.0002      365.8097    13280.8518    13312.3517     1980.0524     1645.6924      991.1558        2.4498
        30        0.0012      365.8097    13280.8518    13430.2630     1794.4340     1577.7651      921.8450        1.5857
        40        0.0029      365.8097    13280.8519    13589.1609     1544.3006     1486.6068      828.5474        0.4214
        50        0.0047      365.8097    13280.8519    13847.9436     1225.0620     1426.3050      724.7939       -1.4750
        60        0.0065      365.8097    13280.8519    14430.3652      601.9736     1383.5820      542.7836       -5.7428
        70        0.0082      365.8097    13280.8519    15032.8389      211.3980     1340.6587      424.2797      -10.1576
        80        0.0100      365.8097    13280.8519    15317.1703      479.6593     1291.9926      484.3096      -12.2412
        90        0.0118      365.8097    13280.8519    15222.7772      560.7766     1233.9795      490.6255      -11.5495
       100        0.0135      365.8097    13280.8518    14962.9329      349.7981     1164.4233      413.9368       -9.6454
       110        0.0153      365.8097    13280.8518    14532.1135      207.4341     1088.0316      354.1364       -6.4884
       120        0.0171      365.8097    13280.8518    13986.1014      674.4813     1013.9365      461.5562       -2.4873
       130        0.0188      365.8097    13280.8518    13552.0022     1043.5953      948.8691      544.6723        0.6936
       140        0.0206      365.8097    13280.8519    13386.1496     1156.7466      896.1239      561.1852        1.9090
       150        0.0223      365.8097    13280.8519    13453.6622     1050.5628      857.4771      521.5934        1.4143
       160        0.0241      365.8097    13280.8519    13686.1329      792.2210      831.6703      443.9169       -0.2892
       170        0.0259      365.8097    13280.8519    14040.0981      420.2242      813.6875      337.3097       -2.8830
       180        0.0276      365.8097    13280.8519    14399.1070      135.9686      797.5050      255.1800       -5.5138
       190        0.0294      365.8097    13280.8519    14618.2791      289.9802      778.7103      292.1438       -7.1198
       200        0.0312      365.8097    13280.8519    14640.1348      341.2173      754.7695      299.6057       -7.2800
       210        0.0329      365.8097    13280.8519    14491.6804      245.1308      725.0572      265.2165       -6.1921
       220        0.0347      365.8097    13280.8518    14219.6680      155.1008      691.2916      231.3750       -4.1989
       230        0.0365      365.8097    13280.8518    13895.3625      408.1211      656.8367      291.1234       -1.8224
       240        0.0382      365.8097    13280.8518    13622.8453      648.9346      625.1015      348.2783        0.1745
       250        0.0400      365.8097    13280.8519    13484.4522      760.7802      598.5312      371.5897        1.1886
       260        0.0418      365.8097    13280.8519    13499.9328      725.0424      578.2793      356.2840        1.0752
       270        0.0435      365.8097    13280.8519    13643.7535      566.8376      563.9214      309.1112        0.0213
       280        0.0453      365.8097    13280.8519    13865.6461      334.5236      553.5226      242.7617       -1.6047
       290        0.0471      365.8097    13280.8519    14092.6152      144.7097      544.4222      188.3853       -3.2679
