# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0287288489        0.0285328855        3.6731545470        1.8336366894    98924.1350803612
          2        0.0287288489        0.0285328855        3.6731545470        1.8336366894    98924.1350803612
          3        0.0697104067        0.0710413056        3.7126433487        4.4184592645    97423.4738966475
          4        0.1174535794        0.1234340026        3.7586361275        7.4304411627    95673.1391048387
          5        0.1726254574        0.1885321145        3.8117707701       10.9294990913    93631.6563089953
          6        0.2358517690        0.2693335794        3.8726414057       14.9758491053    91255.1365861115
          7        0.3075802724        0.3697075832        3.9416667646       19.6267071533    88497.8733518834
          8        0.3878831369        0.4896618667        4.0188982145       24.9292336578    85314.1682291285
          9        0.4759139693        0.6194798103        4.1034944615       30.9031879599    81661.2639031675
         10        0.5674523466        0.7369524610        4.1913525271       37.4718516490    77503.4158027346
         11        0.6467960080        0.8140925370        4.2672906694       44.2422822367    72817.1421468691
         12        0.6729031179        0.8273683609        4.2916886501       50.1324082832    67597.6116749716
         13        0.5757624770        0.7454957302        4.1969824466       53.2673436194    61865.9113985983
         14        0.2830907473        0.5429254957        3.9133829923       51.6772801363    55676.5421986351
         15        0.1617677561        0.3701318094        3.4824911643       45.6741702969    49857.7539322927
         16        0.7033002680        0.7032826571        2.9579986109       36.7266021285    44415.2633274013
         17        1.2776950888        1.2777243648        2.4013788899       26.5185168998    39352.2325116816
         18        1.8198487798        1.8199066054        1.8753572565       16.7708990559    34668.8577840923
         19        2.2667321402        2.2667968742        1.4406692358        9.4160909302    30362.3885120335
         20        2.5650427405        2.5651043284        1.1486866076        9.0164877775    26427.1666898075
         21        2.6839395866        2.6840105110        1.0291420939        9.5105586629    22854.6871007987
         22        2.6271391712        2.6272357914        1.0784650450       10.6295606235    19633.6887488403
         23        2.4369746446        2.4370944663        1.2558596210       17.6921193895    16750.2959093925
         24        2.1860960586        2.1862134568        1.4912947491       26.7125657389    14188.2289515525
         25        1.9578235445        1.9579106549        1.7044355258       34.8192773596    11929.1014710834
         26        1.8210906171        1.8211444249        1.8287974727       40.2078544266     9952.8102780097
         27        1.8088277036        1.8088737799        1.8325939380       42.0267665615     8238.0066388764
         28        1.9085542879        1.9086268361        1.7278207161       40.6268941601     6762.6133985369
         29        2.0701173587        2.0702346426        1.5628101741       37.3568505443     5504.3330563001
         30        2.2284048820        2.2285643829        1.4003391858       33.9614849824     4441.0898497237
         31        2.3313161069        2.3315043233        1.2906550495       31.8410525450     3551.3709845109
         32        2.3597263318        2.3599293889        1.2522090259       31.5224785359     2814.4700471972
         33        2.3298058891        2.3300128428        1.2694028393       32.5975106029     2210.6689920309
         34        2.2777646816        2.2779693989        1.3072914345       34.1259161108     1721.4045721323
         35        2.2372029756        2.2374068554        1.3334305156       35.2346439793     1329.4454961443
         36        2.2228796187        2.2230899871        1.3335451281       35.5476240550     1019.0706585509
         37        2.2291203994        2.2293442340        1.3130771909       35.2282164120      776.2101176865
         38        2.2404612838        2.2407013472        1.2869218986       34.6975291579      588.5086972631
         39        2.2445949997        2.2448498789        1.2669318756       34.2915155501      445.2980176409
         40        2.2385682975        2.2388355264        1.2559293746       34.0967183753      337.4965297793
         41        2.2264479329        2.2267261854        1.2499541283       34.0120897723      257.4743536228
         42        2.2133312875        2.2136207111        1.2440448435       33.9077937108      198.9120646968
         43        2.2014606643        2.2017623939        1.2359933994       33.7283701796      156.6625593010
         44        2.1902934174        2.1906085016        1.2262794020       33.4910929197      126.6115521562
         45        2.1785343352        2.1788633347        1.2161076999       33.2322568338      105.5328746777
         46        2.1655593408        2.1659024219        1.2060322977       32.9695547633       90.9428076040
         47        2.1514664487        2.1518240288        1.1959063632       32.7008326534       80.9625550645
         48        2.1365225070        2.1368949538        1.1854166923       32.4188932654       74.1960456563
         49        2.1208276312        2.1212155606        1.1744081878       32.1204947097       69.6253932674
         50        2.1043347689        2.1047386856        1.1628650151       31.8059323536       66.5231957811
         51        2.0869709431        2.0873907514        1.1507932723       31.4758937702       64.3802045086
         52        2.0686872878        2.0691233572        1.1381724405       31.1301584607       62.8471395281
         53        2.0494467044        2.0498993887        1.1249671795       30.7679929399       61.6893001493
         54        2.0292067766        2.0296764040        1.1111437259       30.3886272335       60.7521800578
         55        2.0079171057        2.0084039704        1.0966723254       29.9913470179       59.9361092700
         56        1.9855224332        1.9860267876        1.0815240465       29.5754244415       59.1780142663
         57        1.9619642047        1.9624862512        1.0656690890       29.1400845382       58.4386344244
         58        1.9371804232        1.9377203053        1.0490767383       28.6845127625       57.6938026560
         59        1.9111052825        1.9116630743        1.0317155239       28.2078652026       56.9286598904
         60        1.8836938640        1.8842642378        1.0135290125       27.7086873851       56.4035002399
         61        1.8551716976        1.8557319794        0.9946313073       27.1905110043       56.8524065824
         62        1.8263796639        1.8269297255        0.9760088921       26.6805782619       56.6144180870
         63        1.7976134749        1.7981533611        0.9573739945       26.1706371062       56.0408571786
         64        1.7688210218        1.7693507451        0.9387771135       25.6619045558       55.3013430869
         65        1.7399672394        1.7404867905        0.9202523376       25.1554295358       54.2829142978
         66        1.7110473813        1.7115567470        0.9018041580       24.6511648592       53.1562192419
         67        1.6820595779        1.6825587423        0.8834344351       24.1489532781       52.1297534725
         68        1.6530045253        1.6534934724        0.8651426625       23.6488230184       51.1614192144
         69        1.6238826767        1.6243613899        0.8469285308       23.1507893329       50.2275108347
         70        1.5946943316        1.5951627938        0.8287918670       22.6548654390       49.3101069702
         71        1.5654396365        1.5658978299        0.8107326507       22.1610629228       48.3971051771
         72        1.5361185432        1.5365664493        0.7927510692       21.6693902276       47.4852453743
         73        1.5067308377        1.5071684375        0.7748475064       21.1798538585       46.5785955169
         74        1.4772764749        1.4777037488        0.7570222366       20.6925364409       45.6741105194
         75        1.4477554842        1.4481724121        0.7392755469       20.2074420777       44.7703078901
         76        1.4181679489        1.4185745107        0.7216077971       19.7244769242       43.8664600385
         77        1.3885140596        1.3889102347        0.7040194220       19.2436627042       42.9622092529
         78        1.3587941742        1.3591799412        0.6865109444       18.7650210172       42.0573802933
         79        1.3290088837        1.3293842214        0.6690830019       18.2885747352       41.1518896666
         80        1.2991590900        1.2995239785        0.6517363850       17.8143495094       40.2457023658
         81        1.2692461053        1.2696005259        0.6344720797       17.3423753191       39.3388120215
         82        1.2392717715        1.2396157029        0.6172913162       16.8726881659       38.4312327041
         83        1.2092385862        1.2095720119        0.6001956390       16.4053318830       37.5229967077
         84        1.1791498647        1.1794727693        0.5831869669       15.9404464083       36.6141554900
         85        1.1490099081        1.1493222800        0.5662676712       15.4780213121       35.7047824006
         86        1.1188241950        1.1191260217        0.5494406497       15.0181013083       34.7949765604
         87        1.0885995670        1.0888908448        0.5327094209       14.5607886819       33.8848674484
         88        1.0583444426        1.0586251715        0.5160781958       14.1062033170       32.9746200428
         89        1.0280690156        1.0283392026        0.4995519625       13.6544851390       32.0644402577
         90        0.9977854533        0.9980451120        0.4831365588       13.2057964299       31.1545805317
         91        0.9675080743        0.9677572286        0.4668387402       12.7603237759       30.2453453669
         92        0.9372535118        0.9374921960        0.4506662287       12.3182812681       29.3370966316
         93        0.9070408417        0.9072691021        0.4346277506       11.8799913438       28.4302583851
         94        0.8768916753        0.8771095721        0.4187330533       11.4456146763       27.5253210392
         95        0.8468302081        0.8470378167        0.4029929011       11.0154504353       26.6228446042
         96        0.8168832196        0.8170806321        0.3874190480       10.5898236008       25.7234608774
         97        0.7870800191        0.7872673459        0.3720241858       10.1690837996       24.8278743302
         98        0.7574523366        0.7576297073        0.3568218681        9.7536034195       23.9368616187
         99        0.7280341557        0.7282017205        0.3418264095        9.3437750289       23.0512695463
        100        0.6988614915        0.6990194218        0.3270527630        8.9400081436       22.1720114792
        101        0.6699721154        0.6701206043        0.3125163765        8.5427621788       21.3000621613
        102        0.6414052302        0.6415444928        0.2982330312        8.1524444211       20.4364509923
        103        0.6132012775        0.6133315508        0.2842184947        7.7694675171       19.5745345382
        104        0.5854017037        0.5855232462        0.2704880950        7.3942773744       18.6900363181
        105        0.5580469586        0.5581600488        0.2570581169        7.0272905044       17.8163231059
        106        0.5311775147        0.5312824500        0.2439444273        6.6689215216       16.9745982202
        107        0.5048341993        0.5049312949        0.2311612124        6.3195802674       16.1443398246
        108        0.4790557916        0.4791453783        0.2187227638        5.9796409796       15.3440766321
        109        0.4538800035        0.4539624253        0.2066419072        5.6494607443       14.5680886869
        110        0.4293426001        0.4294182121        0.1949303064        5.3293961477       13.8134410001
        111        0.4054770375        0.4055462030        0.1835982921        5.0196984913       13.0718999076
        112        0.3823136449        0.3823767339        0.1726552007        4.7206154894       12.3523222798
        113        0.3598798193        0.3599372016        0.1621087712        4.4323586139       11.6571259823
        114        0.3381997542        0.3382518022        0.1519650748        4.1550972126       10.9850157207
        115        0.3172941028        0.3173411850        0.1422285836        3.8889559024       10.3356802530
        116        0.2971798082        0.2972222878        0.1329021505        3.6340142047        9.7092337206
        117        0.2778700181        0.2779082515        0.1239869824        3.3903063181        9.1059454435
        118        0.2593740432        0.2594083726        0.1154826462        3.1578216277        8.5261063024
        119        0.2416973357        0.2417280950        0.1073871302        2.9365172576        7.9699626900
        120        0.2248415650        0.2248690729        0.0996968753        2.7262872651        7.4376843926
        121        0.2088047135        0.2088292732        0.0924068519        2.5269891225        6.9293497161
        122        0.1935812170        0.1936031154        0.0855106491        2.3384491717        6.4449397826
        123        0.1791621449        0.1791816513        0.0790005729        2.1604584927        5.9843379134
        124        0.1655354127        0.1655527788        0.0728677561        1.9927759179        5.5473320337
        125        0.1526860211        0.1527014804        0.0671022746        1.8351312480        5.1336189703
        126        0.1405963163        0.1406100843        0.0616932695        1.6872286020        4.7428101077
        127        0.1292462660        0.1292585402        0.0566290720        1.5487498464        4.3744379222
        128        0.1186137445        0.1186247051        0.0518973292        1.4193580430        4.0279632197
        129        0.1086748244        0.1086846348        0.0474851290        1.2987017489        3.7027827970
        130        0.0994040667        0.0994128741        0.0433791219        1.1864202668        3.3982373894
        131        0.0907748062        0.0907827441        0.0395656404        1.0821342400        3.1136197383
        132        0.0827594357        0.0827666194        0.0360308055        0.9854651149        2.8481826594
        133        0.0753296632        0.0753361982        0.0327606417        0.8960314341        2.6011469400
        134        0.0684567711        0.0684627500        0.0297411697        0.8134515325        2.3717090486
        135        0.0621118519        0.0621173557        0.0269584966        0.7373460393        2.1590484758
        136        0.0562660244        0.0562711239        0.0243988996        0.6673401289        1.9623346800
        137        0.0508906321        0.0508953892        0.0220488991        0.6030655427        1.7807335771
        138        0.0459574220        0.0459618899        0.0198953234        0.5441623672        1.6134135120
        139        0.0414387014        0.0414429260        0.0179253643        0.4902805746        1.4595506945
        140        0.0373074749        0.0373114959        0.0161266249        0.4410813308        1.3183340663
        141        0.0335375617        0.0335414126        0.0144871590        0.3962380768        1.1889695966
        142        0.0301036923        0.0301074018        0.0129955021        0.3554380307        1.0706840309
        143        0.0269815874        0.0269851798        0.0116406959        0.3183813032        0.9627280449
        144        0.0241480194        0.0241515150        0.0104123058        0.2847818989        0.8643789009
        145        0.0215808568        0.0215842728        0.0093004314        0.2543691750        0.7749425679
        146        0.0192590949        0.0192624457        0.0082957120        0.2268872155        0.6937553629
        147        0.0171628715        0.0171661690        0.0073893271        0.2020948431        0.6201851511
        148        0.0152734720        0.0152767261        0.0065729915        0.1797655050        0.5536321274
        149        0.0135733223        0.0135765412        0.0058389474        0.1596870499        0.4935292243
        150        0.0120459734        0.0120491638        0.0051799521        0.1416614098        0.4393421839
        151        0.0106760775        0.0106792449        0.0045892641        0.1255042037        0.3905693465
        152        0.0094493574        0.0094525064        0.0040606255        0.1110442747        0.3467411598
