#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0026       14.6320      386.7429      384.2470        6.4736    10654.6811    72861.3844        4.2673
        20        0.0136       14.6320      386.7429      397.2441        1.3916     3344.1219    22864.1977        1.0291
        30        0.0325       14.6320      386.7429      396.1945        4.6590      519.6403     3583.2120        1.2907
        40        0.0633       14.6320      386.7429      396.3579        4.9767       37.6739      291.4864        1.2500
        50        0.1136       14.6320      386.7429      396.7559        4.6056        9.4202       95.8561        1.1508
        60        0.1953       14.6320      386.7429      397.3827        3.9785        8.3187       84.0429        0.9946
        70        0.2953       14.6320      386.7429      398.1208        3.2426        7.0815       70.5582        0.8107
        80        0.3953       14.6320      386.7429      398.8283        2.5376        5.7561       56.6812        0.6345
        90        0.4953       14.6320      386.7429      399.5011        1.8671        4.4255       43.0057        0.4668
       100        0.5953       14.6320      386.7429      400.1205        1.2500        3.1166       29.8428        0.3125
       110        0.6953       14.6320      386.7429      400.6380        0.7345        1.9127       18.0916        0.1836
       120        0.7953       14.6320      386.7429      401.0040        0.3698        1.0139        9.4563        0.0924
       130        0.8953       14.6320      386.7429      401.2161        0.1583        0.4556        4.1958        0.0396
       140        0.9953       14.6320      386.7429      401.3167        0.0580        0.1740        1.5852        0.0145
       150        1.0953       14.6320      386.7429      401.3564        0.0184        0.0571        0.5161        0.0046
